id,incident_date,day_of_week,city,state,description,plan,citation
574,2010-01-19,tuesday  ,fond du lac,wisconsin,Worker was operating a dump truck hauling rock that was being dumped into the lake. The dump truck fell through the ice near the dumping site killing the worker.,unknown,unknown
575,2010-01-20,wednesday,andrews,texas,Worker was caught in a block line.,unknown,unknown
576,2010-01-21,thursday ,new summerfield,texas,"Worker had entered a soil hopper system while the auger was rotating. Worker's clothes were caught in the rotating auger, pulling the worker's body into the auger.",unknown,unknown
577,2010-01-21,thursday ,mckinney,texas,"Worker was in the process of installing the connector pins to secure two trench boxes. A cave-in occurred, knocking the upper trench box off the lower trench box and pinning the worker between the spreader bars of two trench boxes.",unknown,unknown
578,2010-01-21,thursday ,el paso,texas,Worker was testing an electrical panel at 480 Volts and was electrocuted.,unknown,unknown
579,2010-01-22,friday   ,houston,texas,Worker fell from a tower at a non-operational unit at a refinery complex.,unknown,unknown
580,2010-01-23,saturday ,tuskegee,alabama,Worker was working on a mezzanine to move an air handling unit using a pry bar. Worker lost his footing and fell from an unprotected edge to the floor 20 feet below.,unknown,unknown
581,2009-11-12,thursday ,coshen,utah,Individual removed a strap to unload pipe from a semi-trailer and one of the pipes fell onto the individual which resulted in his death. After extensive review it has been determined there was no employer/employee relationship.,unknown,unknown
582,2010-01-08,friday   ,boulder,colorado,Worker fell through a guardrail 8 to 10 feet from mezzanine to lower level.,unknown,unknown
583,2010-01-21,thursday ,hot springs village,arkansas,Worker was installing 2 by 6 ceiling joists on a home. One of the joists broke; the worker lost his balance and fell 10 feet to the concrete floor inside.,unknown,unknown
584,2010-01-22,friday   ,peachtree city,georgia,Two workers were performing tree removal. The tree fell on the two workers. One worker fatality and one worker hospitalization.,unknown,unknown
585,2010-01-22,friday   ,centerville,south dakota,Worker was removing the cone-shaped roof of a grain bin. Worker was working from a basket that was attached lengthwise off of the end of the forks 12 feet and was elevated 35 feet in the air. The forklift tipped over and struck the ground.,unknown,unknown
586,2010-01-23,saturday ,tampa,florida,Worker was spray painting a building and was found pinned/crushed between the aerial bucket and an awning structure.,unknown,unknown
587,2010-01-23,saturday ,pasadena,texas,Worker was collecting a water sample and was found with the upper half of his body in a diked containment area containing 11 inches of rain water.,unknown,unknown
588,2010-01-25,monday   ,la habra,california,"Worker was standing beside his truck preparing to strap down a load of steel sprinkler pipe bundles, when a forklift operator loading bundles on the left side of the truck bed inadvertently knocked a bundle off the truck bed. The bundle struck the driver knocking him to the ground. He was transported to the hospital where he died later from internal injuries.",unknown,unknown
589,2010-01-26,tuesday  ,gaithersburg,maryland,Worker was struck by passing vehicle while he was delivering cars.,unknown,unknown
590,2010-01-26,tuesday  ,tehachapi,california,Worker was run over by tractor trailer.,unknown,unknown
591,2010-01-26,tuesday  ,lansing,new york,Worker fell from roof elevation.,unknown,unknown
592,2010-01-26,tuesday  ,rockville,maryland,Two maintenance workers were killed when struck by a rail maintenance vehicle while establishing a work zone.,unknown,unknown
593,2010-01-27,wednesday,marco island,florida,Worker was installing security cameras and fell from a flat roof 16 feet.,unknown,unknown
594,2010-01-28,thursday ,louisville,kentucky,"Worker was working at 2:47 a.m. in a convenience store, when he was shot during a robbery attempt. He was taken off life support on 1/27/2010.",unknown,unknown
595,2010-01-28,thursday ,angleton,texas,"Workers were coating the interior of a trailer tank; fumes ignited from the trailer tank, causing a flash fire. One worker fatality and two workers were hospitalized.",unknown,unknown
596,2010-01-30,saturday ,nebraska city,nebraska,Worker was disassembling storage racks from inside a scissor lift elevated 20 feet and attaching a strap to the rack and slowly leaning it over. The strap caught the lift and tipped over with the rack.,unknown,unknown
597,2009-11-14,saturday ,bethesda,maryland,Worker was standing on a ladder with a chain saw to cut a tree trunk. The chain saw apparently struck the victim 's neck.,unknown,unknown
599,2009-12-05,saturday ,binghamton,new york,A professor was assaulted while providing mentoring services in an assigned office space. Event occurred during normal office hours. Multiple stab injuries to abdomen and torso.,unknown,unknown
600,2010-01-07,thursday ,bronx,new york,Worker of New York City Housing Authority was found dead at his work station in the boiler room. (Inspection planned),unknown,unknown
601,2010-01-18,monday   ,auburn,washington,Skull fracture.,unknown,unknown
602,2010-01-19,tuesday  ,syracuse,new york,"Worker was unloading a trailer, and a box fell on him.",unknown,unknown
603,2010-01-20,wednesday,morris,new york,Trooper collided with a westbound tractor trailer.,unknown,unknown
604,2010-01-26,tuesday  ,astoria,new york,Worker was killed after being pinned between a tractor trailer and his garbage truck.,unknown,unknown
605,2010-01-29,friday   ,west jordan,utah,Worker was crushed between a delivery truck and the loading dock resulting in serious injuries and his death.,unknown,unknown
606,2010-01-29,friday   ,seattle,washington,Worker was struck by a steel shaft being worked on in a lathe.,unknown,unknown
607,2010-01-29,friday   ,phoenix,arizona,Worker was run over by a forklift on a construction site and fatally injured.,unknown,unknown
608,2010-01-29,friday   ,belmont,north carolina,Worker was in the process of unloading a truck when the forklift he was operating overturned.,unknown,unknown
609,2010-01-30,saturday ,albuquerque,new mexico,"A car being driven off of the exit-end of the car wash conveyor to the drying area outside of the building accelerated suddenly, striking the worker standing near the auto door to the outside.",unknown,unknown
610,2010-01-30,saturday ,sandersville,mississippi,Worker was found at the log loading site beneath the front right tire of a skidder.,unknown,unknown
611,2010-02-02,tuesday  ,hayward,california,Worker was found lying dead on roadway adjacent to work. Apparent homicide.,unknown,unknown
612,2010-02-02,tuesday  ,houston,texas,"Worker was inflating a tire that exploded, striking him",unknown,unknown
613,2010-02-02,tuesday  ,wintor park,florida,"Worker was assisting in the delivery of granite slabs using a forklift. The forklift hit two slabs that fell, striking the worker on the head.",unknown,unknown
614,2010-02-03,wednesday,winter haven,florida,Worker was in the process of putting equipment on a machine and was found on the ground by other workers; apparent heart attack.,unknown,unknown
615,2010-02-03,wednesday,north jackson,ohio,Worker was found unresponsive after pulling a tractor trailer into the shop building.,unknown,unknown
616,2010-02-03,wednesday,palm coast,florida,"Worker was installing metal roofing and fell 35 feet, hitting the concrete floor.",unknown,unknown
617,2010-02-04,thursday ,cullman,alabama,"Worker was lowered into a 30- to 35-foot deep shaft to perform hand cleaning and to drill a sample test of a rock. He was being lifted out of the shaft by the use of a pneumatic winch system. The winch system collapsed into the shaft, striking the worker.",unknown,unknown
618,2010-02-04,thursday ,green bay,wisconsin,Worker was adjusting the wheel location of a trailer and was run over by the trailer of the truck.,unknown,unknown
619,2010-02-05,friday   ,new york,new york,Worker fell from scaffold into a window opening and 20 feet down an elevator shaft.,unknown,unknown
620,2010-02-06,saturday ,cottondale,florida,Worker received severe steam burns to his lungs during the clinker material clearing process.,unknown,unknown
621,2010-02-13,saturday ,haskell,arkansas,Worker was disassembling a communication tower and fell 98 feet to the ground.,unknown,unknown
622,2010-01-14,thursday ,mason city,iowa,"Worker noticed the sodium hydroxide pipe was leaking. He tried to stop the leak and got sodium hydroxide on himself. After cleaning the spill, the worker took a shower and collapsed and died.",unknown,unknown
623,2010-01-21,thursday ,seattle,washington,Worker was operating a tug vehicle that transfers luggage from terminals to airplanes. The tug collided with a food service truck. The worker was ejected from the tug and struck his head on the pavement. He was transferred to the hospital where he later died.,unknown,unknown
624,2010-01-27,wednesday,gurabo,puerto rico,"While working on a metal roof, the aluminum metal sheet, which was deteriorated, broke. The worker fell to the ground, later dying at the hospital.",unknown,unknown
625,2010-02-03,wednesday,morgantown,kentucky,Workers were painting a newly constructed sludge pit. Worker turned to find other worker slumped down by the wall.,unknown,unknown
628,2010-02-07,sunday   ,green bay,wisconsin,"Worker slipped at work, fracturing ankle. Worker died of blood clots two days later.",unknown,unknown
629,2010-02-07,sunday   ,middletown,connecticut,"Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred. There were three fatalities.",unknown,unknown
630,2010-02-08,monday   ,hillsboro,oregon,Worker was caught between the back of a semi-trailer and a loading dock. He was transported to the hospital where he later died.,unknown,unknown
631,2010-02-08,monday   ,orlando,florida,Worker was shot by an unknown assailant in the parking lot and was hospitalized; shooter then committed suicide.,unknown,unknown
632,2010-02-08,monday   ,opelika,alabama,Worker was struck by a dump truck.,unknown,unknown
633,2010-02-08,monday   ,lake jackson,texas,Worker entered a manhole in an abandoned sewer line to remove a cap from a vent line and fell 7to 10 feet from a ladder.,unknown,unknown
634,2010-02-08,monday   ,austin,texas,"Workers were working under the chassis of a water pump that was up on four jack stands. One of the jacks was removed and the water pump came down, crushing the worker.",unknown,unknown
635,2010-02-09,tuesday  ,schofield,wisconsin,"Worker was dipping a metal part into a heated bath and an explosion occurred, burning worker.",unknown,unknown
636,2010-02-10,wednesday,laramie,wyoming,Excavator broke through ice coming to rest on its side and entrapping worker underwater.,unknown,unknown
637,2010-02-10,wednesday,wichita falls,texas,Worker fell out of bucket truck after his truck was struck by another vehicle.,unknown,unknown
638,2010-02-10,wednesday,el segundo,california,Worker suffered heart attack and died while sweeping water from the roof of an apartment building. (Inspection planned),unknown,unknown
639,2010-02-10,wednesday,cleveland,ohio,Worker was assaulted by a homeless veteran.,unknown,unknown
640,2010-02-11,thursday ,marion,illinois,"Worker was using a wood chipper to process branches from a tree trimming job. The chipper discharge chute clogged up and the worker removed the pin that held the access panel down over the cutterwheel. The cutterwheel was still rotating and discharged wood material against the access panel, which flipped open and the worker was hit in the face and forehead with the handle of the access panel.",unknown,unknown
641,2010-02-12,friday   ,east rochester,ohio,Worker was emptying rock salt out of the back of his dump truck with a spreader. His arm was caught in the rotating auger distribution system.,unknown,unknown
642,2010-02-12,friday   ,huntington,west virginia,Worker was exposed to a chemical stripping agent and suffered respiratory pain / illness due to poor ventilation.,unknown,unknown
643,2010-02-09,tuesday  ,oskaloosa,iowa,Worker was trying to grab a large piece of cardboard out of the back of the garbage truck when the driver began to close the tailgate. The driver heard the worker and opened it. The worker who had been caught by the tailgate was transported to the hospital where he later died.,unknown,unknown
644,2010-02-15,monday   ,clearwater,florida,Worker was working on a column and fell over safety rail from the second level.,unknown,unknown
645,2010-02-15,monday   ,st. charles,illinois,Worker was crushed between the ground and the arm of an automotive lift.,unknown,unknown
646,2010-02-16,tuesday  ,west milwaukee,wisconsin,"Worker was working in the yard moving a piece of steel with an overhead crane. The piece fell, crushing the worker.",unknown,unknown
647,2010-02-16,tuesday  ,mcloud,oklahoma,Worker was attempting to tie into a main water line that was 17 to 20 feet underground when the trench collapsed.,unknown,unknown
648,2010-02-16,tuesday  ,baton rouge,louisiana,"Worker was working from a manlift connecting a beam. The beam being held by a crane, shifted and hit the manlift knocking the worker from the manlift, 14 to16 feet to the ground.",unknown,unknown
649,2010-02-17,wednesday,south charleston,ohio,"Worker was refilling aboveground fuel oil tanks from a tank truck. He had walked behind the truck and bent over, his coat was caught in the power take-off.",unknown,unknown
650,2010-02-17,wednesday,belmond,iowa,"Worker, a machine operator, was using a grinding machine and the grinding wheel on the machine broke into pieces. One piece of the wheel struck the worker in the face. The worker died instantly.",unknown,unknown
651,2010-02-17,wednesday,beggs,oklahoma,"Worker was draining a tank; one of the employees climbed to the top of the tank and lit a cigarette and waved it over the opening in the tank. The tank exploded, killing the worker.",unknown,unknown
652,2010-02-17,wednesday,rochester,minnesota,Worker found unconscious in a hog barn.,unknown,unknown
653,2010-02-17,wednesday,shepherdstown,west virginia,"Worker was working in the kitchen area and fainted / fell to the floor, grabbing hold of a deep fryer, spilling hot grease out onto her and burning 30 percent of her body.",unknown,unknown
654,2010-02-18,thursday ,pearl,mississippi,Worker was removing an antenna from a hangar roof. He was walking a beam and stepped off and fell through the roof of the hangar.,unknown,unknown
655,2010-02-19,friday   ,brooklyn,new york,Worker was struck by a powered industrial truck that was loading paper bales into a semi-trailer.,unknown,unknown
656,2010-02-20,saturday ,follansbee,west virginia,Worker was traveling underneath a coal transfer belt. A large icicle broke away from the belt structure and fell onto the worker.,unknown,unknown
657,2010-02-04,thursday ,mt. vernon,washington,Worker was crushed by the bulldozer he was operating. He was transported to the hospital where he later died.,unknown,unknown
658,2010-02-14,sunday   ,sparrows point,maryland,Worker was descending from the cab/platform built into the side of the vehicle. The worker fell backwards and landed on the concrete floor.,unknown,unknown
659,2010-02-16,tuesday  ,everett,washington,Worker was bitten by a customer's dog at a gated storage facility while on duty. Worker passed away two days later at the hospital from blood poisoning related to the dog bite.,unknown,unknown
660,2010-02-18,thursday ,chinquapin,north carolina,"Six workers were installing bracing to trusses while working on/inside the web of the trusses with two workers on the ground. The trusses collapsed/rolled. Two workers fell from the trusses and were injured. One worker, the ground man, was cutting lumber to length. He was killed when the trusses fell on him.",unknown,unknown
661,2010-02-18,thursday ,galt,california,"Worker was moving hay out of a barn from a height of 10 to 12 feet. He fell and received head trauma, from which he died.",unknown,unknown
662,2010-02-18,thursday ,troy,north carolina,Worker was struck on the head by a tree limb while felling a tree.,unknown,unknown
663,2010-02-18,thursday ,wilson,north carolina,Worker was performing maintenance on an extruder machine. He was discovered caught in the machine by the plant manager. He was pronounced dead at the scene.,unknown,unknown
664,2010-02-18,thursday ,chettenham,maryland,Worker was murdered.,unknown,unknown
665,2010-02-21,sunday   ,celina,ohio,"Worker was troubleshooting a Makino, multi-axis, computer numerical controlled (CNC) machine; the machine activated and the worker's head was impaled by the tooling spindle.",unknown,unknown
666,2010-02-22,monday   ,baytown,texas,Worker was climbing a tower at a height of 58 feet and began having convulsions.,unknown,unknown
667,2010-02-22,monday   ,chicago,illinois,Police officer was involved in a vehicle accident with a marked car. Apparently he struck a pole and tree and was pronounced dead at the hospital.,unknown,unknown
668,2010-02-22,monday   ,shelby,north carolina,Worker was working as a landfill spotter. He was behind a CAT 836G compactor and the operator of the compactor did not see him. The operator of the compactor backed over the worker. He was taken to the hospital where he later died.,unknown,unknown
669,2010-02-22,monday   ,blue island,illinois,Worker was attempting to find the problem of a hydraulic flatbed truck. He rose up the flatbed and positioned himself beneath the raised flatbed and the frame. The hydraulics gave way and the worker was crushed.,unknown,unknown
670,2010-02-22,monday   ,cedar rapids,iowa,"Workers were utilizing excavator with pipe clamp to plastic-wrap 18-foot pipes. Upon completion of wrapping, the pipe excavator operator picked up pipe with the clamp. The pipe came out of the pipe clamp resulting in the pipe falling onto the worker's chest which caused a fatal crushing injury.",unknown,unknown
671,2010-02-22,monday   ,woodward,oklahoma,"Worker was in the process of unloading pipe from a trailer. He was removing a chain that was routed through the middle of the front weigh bridge, when the pipe rolled off the top of the load, striking the worker in the upper extremities knocking him down on the ground.",unknown,unknown
672,2010-02-24,wednesday,juana diaz,puerto rico,"While operating a boom truck attempting to move a junked truck, suddenly the boom broke from its base and stuck the worker causing a serious chest injury. The worker was killed.",unknown,unknown
673,2010-02-24,wednesday,wolcott,connecticut,"Worker, acting as a spotter, was struck by the garbage truck that was backing up.",unknown,unknown
674,2010-02-24,wednesday,chicago,illinois,"Worker was working on a step ladder adjusting a pipe on top of the pasting machine and fell backwards off of the ladder, hitting his head on the metal plate floor.",unknown,unknown
675,2010-02-24,wednesday,orlando,florida,"Worker, an animal trainer, was attacked by a killer whale in an aquarium's exhibition tank.",unknown,unknown
676,2010-01-20,wednesday,perrysville,ohio,Worker had exited the cab of a truck. Worker ran across the street to collect garbage and was hit by a vehicle.,unknown,unknown
677,2010-01-21,thursday ,pahoa,hawaii,Worker of a structural steel erection crew that was installing roof decking fell from the deck under construction to the concrete floor below. Worker was transported to the hospital where he later died.,unknown,unknown
678,2010-02-12,friday   ,miami,florida,"Worker was doing a job on a 6-foot ladder, lost his balance and fell, striking his head.",unknown,unknown
679,2010-02-15,monday   ,rogerville,tennessee,Worker tripped on an extension cord and fell onto a tiled floor in the deli. She was transported to the hospital where she later died.,unknown,unknown
681,2010-02-23,tuesday  ,murphysboro,illinois,Garage worker was found pinned by a vehicle at 6:45 a.m. The vehicle was still in drive and he had been pinned for a undetermined amount of time. He was taken to the hospital for treatment where he died later.,unknown,unknown
682,2010-02-26,friday   ,charleston,illinois,Worker was returning from the rest room and collapsed.,unknown,unknown
683,2010-02-26,friday   ,tacoma,washington,Teacher was shot multiple times as she entered the workplace.,unknown,unknown
684,2010-02-27,saturday ,lajas,puerto rico,"Bakery worker, was using a home-made elevator to hoist material from the first level to the second level on a two story building. Upon entering the elevator at the second floor, the chain sling supporting the elevator failed. The elevator in free fall caught the employee in/between the floor edge. He was found dead by a fellow worker.",unknown,unknown
685,2010-02-28,sunday   ,smithtown,new york,Worker fell in a sewage pit.,unknown,unknown
686,2010-03-01,monday   ,houston,texas,Worker had climbed a ladder to watch his gang. A rolling crane was approaching his location and he did not see the second crane coming. The walkway of the crane struck him off the ladder onto the ship's main deck.He was then caught by a piece of pipe and dragged until the crane was stopped.,unknown,unknown
687,2010-03-02,tuesday  ,beaumont,texas,Worker was struck by a 500-gallon tank that fell off the tines of a forklift.,unknown,unknown
688,2010-03-02,tuesday  ,artesia,new mexico,"Four insulation contractors were installing insulation on top of a new crude storage tank. The tank had been filled with water during recent hydrostatic testing. The workers were completing construction. Workers were welding when a fire ignited. Two fell from the tank, sustaining injuries, and were hospitalized. A third worker remained on top of the tank and was fatally burned. Fourth worker remains missing and is presumed dead.",unknown,unknown
689,2010-03-03,wednesday,kenedy,texas,Worker pressure washing a freezer via gasoline-powered washer was overcome by carbon monoxide.,unknown,unknown
690,2010-03-03,wednesday,blackwell,oklahoma,Worker was drilling a water well. The boom of the drilling rig contacted a high voltage power line of a cell phone tower. Worker was electrocuted.,unknown,unknown
691,2010-03-03,wednesday,houston,texas,"Worker was in the process of removing synthetic straps from a load of four, 7-inch by 50-foot long, metal utility poles, when one of the poles, stacked on top, fell and landed on top of him.",unknown,unknown
692,2010-03-03,wednesday,junction city,kansas,Worker was flushing a refrigerator line and did not extinguish the pilot light on the water heater.,unknown,unknown
693,2010-04-05,monday   ,barlett,illinois,Worker was mounting a crane on a truck. The crane fell and hit the worker.,unknown,unknown
694,2010-04-19,monday   ,westmont,illinois,Worker was welding on a 55-gallon drum of what might have been methanol and a explosion/fire occurred.,unknown,unknown
695,2010-03-03,wednesday,chicago,illinois,Two workers were conducting a pressure test on a pipe located in a timber-shored trench. The workers were pressurizing the pipe to the desired amount. The pipe burst and the pressure of the air forced the pipe and the timber shoring toward the workers. One worker fatality and one worker hospitalization.,unknown,unknown
696,2010-03-03,wednesday,alice,texas,"Worker was working in a pressure wash bay, cleaning some open-ended pipe, and was found collapsed on the concrete floor.",unknown,unknown
697,2010-03-04,thursday ,oakridge,oregon,Worker was driving a commercial truck and collided with several large bales of hay that fell off an unknown semi-trailer.,unknown,unknown
698,2010-03-04,thursday ,columbus,georgia,"Worker was making preparations to stack steel beams in a storage area; an I-beam fell from a mansport truck, striking the worker.",unknown,unknown
699,2010-03-04,thursday ,rochester,new york,"Worker was using a ""Better Spreader"" to apply glue to the rubber membrane, walking backwards. He backed off the roof and fell 27 feet to the ground below.",unknown,unknown
700,2010-03-04,thursday ,kirbyville,texas,"Worker was installing lamp/bulbs while in an elevated bucket on a truck and contacted a live wire, receiving a lethal shock.",unknown,unknown
701,2010-03-05,friday   ,beach,north dakota,"Worker was conducting seismographic drilling operations.Worker was tipping pipe out of the hole; the pipe came loose, and fell on the worker.",unknown,unknown
702,2010-03-05,friday   ,alamo,texas,Worker was working inside a trench without a protective system; the trench walls collapsed.,unknown,unknown
703,2010-03-05,friday   ,houston,texas,"Worker was working on the electrical wiring for overhead fluorescent lights in the attic of a plant, and was electrocuted.",unknown,unknown
704,2010-03-05,friday   ,jacksonville,north carolina,"Worker had taken a flat bottom boat out for a ride to put 10 hours of usage on the new motor. Worker fell from the moving boat and his body was found later, floating.",unknown,unknown
705,2010-03-04,thursday ,phoenix,arizona,Worker was killed when he overturned his side dump truck and struck a parked water truck.,unknown,unknown
706,2010-03-04,thursday ,laramie,wyoming,"A material handler was walking in a parking lot when he slipped on some ice causing him to fall, striking his head on parking lot surface.",unknown,unknown
707,2010-03-05,friday   ,motley,minnesota,Worker was working beneath a trailer when the jack stand broke.,unknown,unknown
708,2010-03-06,saturday ,mt. prospect,illinois,Worker was disposing waste parquet flooring and tile from a gondola plastic cart into a dumpster. Worker collapsed into the dumpster; apparent heart attack.,unknown,unknown
709,2010-03-10,wednesday,hermosa beach,california,"Worker was standing on platform/plywood on forklift and fell into a 15-foot excavation which collapsed around him, burying him.",unknown,unknown
710,2010-03-10,wednesday,mcfarland,california,Worker was struck by falling windmill blades when he went to start equipment.,unknown,unknown
711,2010-03-11,thursday ,santurce,puerto rico,Worker was hit in the forehead by the hook of a crane that was being used to install a utility pole. He was knocked unconscious and transported to the hospital where he later died.,unknown,unknown
712,2010-03-12,friday   ,camp minden,louisiana,"Worker had climbed down a ladder into a railcar, which had been identified as a confined space, wearing an acid gas respirator with an organic vapor cartridge. As he began to exit the railcar, climbing up the ladder, he collapsed and fell back into the railcar. It is believed there was a nitrogen atmosphere in the railcar.",unknown,unknown
713,2010-02-23,tuesday  ,charlotte,north carolina,Worker was inspecting a roof on 2/23/2010 when he fell 23 feet. He later died from his injuries on 3/10/2010.,unknown,unknown
714,2010-03-09,tuesday  ,nashville,tennessee,"Worker was using a power take-off (PTO) pump to transfer gasoline from one underground storage tank to another. The output pipe of the pump broke, spraying fuel over the worker. The fuel later ignited and the worker was seriously burned. He died the next day.",unknown,unknown
715,2010-03-12,friday   ,midland,texas,"The company was applying a coat of stain and two coats of sealant. Two workers were observed outside the building getting air, as the fumes were getting to be too much. One worker fatality and one worker hospitalization.",unknown,unknown
716,2010-03-14,sunday   ,moca,puerto rico,"Worker was repairing damage to a 4160-Volt power line. The worker grabbed the part of the line which was not de-energized and was electrocuted, instantly causing his death.",unknown,unknown
717,2010-03-16,tuesday  ,philadelphia,pennsylvania,"Worker was conducting roofing work, removing sky lights, and fell 50 feet to the lower level.",unknown,unknown
718,2010-03-16,tuesday  ,swansea,illinois,Worker was spraying fertilizer with a utility cart boom sprayer. The cart overturned trapping the worker.,unknown,unknown
719,2010-03-16,tuesday  ,gary,indiana,Worker was working on highway with two other Walsh Construction workers and a subcontractor patching potholes. He was struck by a drunk driver speeding at up to 90 mph.,unknown,unknown
721,2010-03-17,wednesday,lexington,kentucky,Two workers were at the Lexington landfill loading one dumpster into another. During the process a chain became hung up and one worker stepped into the dumpster to free the chain. The dumpster fell on the worker. He was transported to the hospital where he later died.,unknown,unknown
722,2010-03-17,wednesday,newdale,idaho,Worker attempted to break a grain bridge manually by entering the bin and fell into the grain.,unknown,unknown
723,2010-03-17,wednesday,bencia,california,Worker was working in a vault and was electrocuted.,unknown,unknown
724,2010-03-17,wednesday,pocahontas,arkansas,"Worker was in the process of transferring grain from one bin to another, and was found in a grain bin covered by a few feet of corn, 20 to 25 feet away from the door.",unknown,unknown
725,2010-03-17,wednesday,rockwood,tennessee,Worker was standing on a flatbed trailer while a crane operator was loading three coils of steel onto the truck. The coils fell off the truck striking the worker who had jumped off the truck to get out of the way.,unknown,unknown
726,2010-03-18,thursday ,la grand,california,Worker was unloading pipe from a flatbed trailer when he was knocked off the trailer by pipe that then fell onto him.,unknown,unknown
727,2010-03-18,thursday ,lakeland,florida,"Worker was working on a large RV vehicle with the front suspended on a jack. The jack collapsed, and the vehicle fell on the worker.",unknown,unknown
728,2010-03-19,friday   ,silverdale,washington,Worker was carrying an oxygen/acetylene hose. Worker was walking uphill across a roadway and was struck by an end loader.,unknown,unknown
729,2010-03-19,friday   ,plaquemine,louisiana,Worker was directing the driver of an 18-wheeler truck backwards into a Poly A Unit. Worker ended up in a position where the 18-wheeler tires rolled over and crushed his head.,unknown,unknown
730,2010-03-19,friday   ,davis,florida,"Worker was driving a golf cart, picking up debris along the roadway, and was struck by a vehicle.",unknown,unknown
731,2010-03-19,friday   ,tulsa,oklahoma,Worker was working on the airbrakes of the cab of a tractor trailer. The truck engine engaged and dragged the worker until the truck hit another building. Worker was found pinned between the left front tire and engine.,unknown,unknown
732,2010-03-20,saturday ,grafton,ohio,Worker was accessing the area under a load and was crushed/struck-by the scrap vehicle.,unknown,unknown
733,2016-09-15,thursday ,new york,new york,Worker killed in fall from roof.,unknown,unknown
734,2010-03-17,wednesday,kansas city,missouri,"Worker was working on the wheel and axle line, using an overhead bridge crane to lift a 5,100-lb locomotive wheel set. Worker lifted the locomotive wheel set, causing it to swing in a pendulum motion, pinning his leg against another stationary locomotive wheel set.",unknown,unknown
735,2010-03-17,wednesday,chico,california,Worker became entangled in the rear differential of a vehicle.,unknown,unknown
736,2010-03-18,thursday ,clevland,tennessee,Worker fell about 7 feet while pouring a concrete column for a new bridge. He was taken to the hospital where he died during back surgery.,unknown,unknown
737,2010-03-18,thursday ,brooklyn,new york,Worker fell 25 feet off a manlift.,unknown,unknown
738,2010-03-19,friday   ,new port richey,florida,Worker was cutting tree branches and cut himself with a chainsaw.,unknown,unknown
739,2010-03-19,friday   ,egg harbor twp.,new jersey,"Worker was working on a client's boat, and an explosion occurred.",unknown,unknown
740,2010-03-19,friday   ,charlotte,north carolina,Worker was working under a pull-behind compressor/generator and it fell off the jack stands.,unknown,unknown
741,2010-03-20,saturday ,odessa,texas,Worker received a severe electrical shock after an overhead crane derailed in the facility he was working in.,unknown,unknown
742,2010-03-21,sunday   ,mountain lakes,new jersey,Worker fell off of an unguarded stair landing and struck his head on edge of stair tread 10 feet below.,unknown,unknown
743,2010-03-22,monday   ,presque isle,maine,"Worker went into a stacker to clean dust off a photocell eye. He did not use lockout/tagout, and after the dust was cleared away, the stacker activated.",unknown,unknown
744,2010-03-23,tuesday  ,miles city,montana,Worker was trampled by a bull.,unknown,unknown
745,2010-03-23,tuesday  ,fort wayne,indiana,Worker was spray painting utility when he was struck by a vehicle. Worker later died on 3/19/2010.,unknown,unknown
746,2010-03-24,wednesday,north las vegas,nevada,Worker was fatally shot during a robbery and was pronounced dead at the scene.,unknown,unknown
747,2010-03-25,thursday ,delran,new jersey,Two workers were moving an aluminum ladder. The ladder contacted an overhead power line. One worker was electrocuted and the other was hospitalized.,unknown,unknown
748,2010-03-26,friday   ,cleburne,texas,Worker fell from an elevated water tower area.,unknown,unknown
749,2010-03-27,saturday ,fitchburg,massachusetts,"Worker was working on a motor, contacted live wires and was electrocuted.",unknown,unknown
750,2010-03-17,wednesday,pecos,new mexico,"Worker was operating a boom on a water well truck, when boom came in contact with overhead power line, electrocuting the worker.",unknown,unknown
751,2010-03-23,tuesday  ,federal way,washington,"Worker, at the end of fourth day on night shift, drove company car into back of parked trucks. He received multiple head injuries.",unknown,unknown
752,2010-03-26,friday   ,port angeles,washington,"Worker was sitting on a conveyor and welding, when the conveyor system was energized causing the employee to be crushed. No locks were used to lockout the conveyor system.",unknown,unknown
753,2010-03-27,saturday ,firebaugh,california,Worker was driving a JackRunner chipper. He left the cab of the chipper and got caught in the auger of the JackRabbit bank-out car.,unknown,unknown
754,2010-03-27,saturday ,venice,california,Worker was checking on office of a coworker. The worker opened the window and stepped out on the ledge where he slipped and fell to the parking lot below - approximately 20 - 25 feet.,unknown,unknown
755,2010-03-28,sunday   ,oakland,california,Three volunteers setting up 40-foot portable antenna for radio communications during bicycle event. Top of antenna swayed 10 feet and touched high voltage line. One killed; one injured.,unknown,unknown
756,2010-03-29,monday   ,de moines,iowa,"Worker was attempting to clear a jammed flat of milk product containers when the ram actuator started moving forward, pinning the worker between the actuator and positioning post, crushing the worker.",unknown,unknown
757,2010-03-29,monday   ,oakland,california,Worker fell from 15-story building to 6th floor atrium.,unknown,unknown
758,2010-03-29,monday   ,yauco,puerto rico,"Worker was installing a telephone cable while standing on a fiberglass ladder. He came in contact with a 4,000-Volt electrical line and fell 15 feet to the ground and died.",unknown,unknown
759,2010-03-30,tuesday  ,moutheard,kentucky,Two workers had begun setting up traffic demarcations alongside the highway. The workers were struck by a tractor trailer whose brakes failed.,unknown,unknown
